Year, Month, Monthly_MSL, Linear_Trend, High_Conf., Low_Conf.
1948,1,-0.001,0.007,0.056,-0.043
1948,2,-0.019,0.006,0.056,-0.043
1948,3,-0.014,0.006,0.056,-0.043
1948,4,0.056,0.006,0.056,-0.043
1948,5,0.068,0.006,0.055,-0.043
1948,6,0.060,0.006,0.055,-0.043
1948,7,-0.006,0.006,0.055,-0.043
1948,8,0.047,0.006,0.055,-0.043
1948,9,0.065,0.006,0.055,-0.042
1948,10,-0.090,0.006,0.054,-0.042
1948,11,-0.026,0.006,0.054,-0.042
1948,12,0.036,0.006,0.054,-0.042
1949,1,-0.038,0.006,0.054,-0.042
1949,2,-0.031,0.006,0.054,-0.042
1949,3,-0.033,0.006,0.053,-0.042
1949,4,-0.027,0.006,0.053,-0.042
1949,5,-0.033,0.006,0.053,-0.042
1949,6,-0.007,0.005,0.053,-0.042
1949,7,0.006,0.005,0.053,-0.042
1949,8,0.050,0.005,0.052,-0.042
1949,9,0.078,0.005,0.052,-0.042
1949,10,0.063,0.005,0.052,-0.042
1949,11,0.016,0.005,0.052,-0.041
1949,12,0.125,0.005,0.052,-0.041
1950,1,0.133,0.005,0.051,-0.041
1950,2,0.113,0.005,0.051,-0.041
1950,3,0.111,0.005,0.051,-0.041
1950,4,0.093,0.005,0.051,-0.041
1950,5,0.092,0.005,0.051,-0.041
1950,6,0.032,0.005,0.050,-0.041
1950,7,0.009,0.005,0.050,-0.041
1950,8,-0.054,0.005,0.050,-0.041
1950,9,-0.044,0.004,0.050,-0.041
1950,10,-0.068,0.004,0.050,-0.041
1950,11,-0.048,0.004,0.049,-0.041
1950,12,-0.052,0.004,0.049,-0.041
1951,1,-0.080,0.004,0.049,-0.041
1951,2,-0.101,0.004,0.049,-0.040
1951,3,-0.042,0.004,0.049,-0.040
1951,4,-0.012,0.004,0.048,-0.040
1951,5,0.010,0.004,0.048,-0.040
1951,6,0.008,0.004,0.048,-0.040
1951,7,-0.018,0.004,0.048,-0.040
1951,8,0.001,0.004,0.048,-0.040
1951,9,0.001,0.004,0.047,-0.040
1951,10,0.020,0.004,0.047,-0.040
1951,11,-0.008,0.004,0.047,-0.040
1951,12,-0.021,0.003,0.047,-0.040
1952,1,0.002,0.003,0.047,-0.040
1952,2,0.004,0.003,0.046,-0.040
1952,3,0.028,0.003,0.046,-0.040
1952,4,0.001,0.003,0.046,-0.040
1952,5,-0.024,0.003,0.046,-0.040
1952,6,-0.013,0.003,0.046,-0.039
1952,7,-0.030,0.003,0.045,-0.039
1952,8,0.001,0.003,0.045,-0.039
1952,9,-0.050,0.003,0.045,-0.039
1952,10,0.020,0.003,0.045,-0.039
1952,11,0.029,0.003,0.045,-0.039
1952,12,0.024,0.003,0.045,-0.039
1953,1,0.039,0.003,0.044,-0.039
1953,2,0.046,0.003,0.044,-0.039
1953,3,0.044,0.003,0.044,-0.039
1953,4,0.047,0.002,0.044,-0.039
1953,5,0.022,0.002,0.044,-0.039
1953,6,0.054,0.002,0.043,-0.039
1953,7,0.082,0.002,0.043,-0.039
1953,8,0.083,0.002,0.043,-0.039
1953,9,0.078,0.002,0.043,-0.039
1953,10,0.087,0.002,0.043,-0.039
1953,11,0.141,0.002,0.042,-0.038
1953,12,0.122,0.002,0.042,-0.038
1954,1,0.100,0.002,0.042,-0.038
1954,2,0.129,0.002,0.042,-0.038
