Year, Month, Monthly_MSL, Unverified, Linear_Trend, High_Conf., Low_Conf.
1936,1,1.051,U,1.050,1.067,1.033,
1936,2,0.916,U,1.049,1.066,1.032,
1936,3,0.929,U,1.048,1.065,1.031,
1936,4,0.963,U,1.047,1.063,1.030,
1936,5,1.052,U,1.046,1.062,1.029,
1936,6,1.101,,1.045,1.061,1.028,
1936,7,1.111,,1.043,1.060,1.027,
1936,8,1.025,,1.042,1.059,1.026,
1936,9,0.997,,1.041,1.058,1.025,
1936,10,1.003,,1.040,1.057,1.024,
1936,11,1.083,,1.039,1.055,1.022,
1936,12,1.072,,1.038,1.054,1.021,
1937,1,0.710,,1.037,1.053,1.020,
1937,2,0.998,,1.036,1.052,1.019,
1937,3,1.024,,1.035,1.051,1.018,
1937,4,1.064,,1.033,1.050,1.017,
1937,5,1.045,,1.032,1.049,1.016,
1937,6,1.049,,1.031,1.048,1.015,
1937,7,1.038,,1.030,1.046,1.014,
1937,8,1.098,,1.029,1.045,1.013,
1937,9,0.979,,1.028,1.044,1.012,
1937,10,1.006,,1.027,1.043,1.011,
1937,11,1.052,,1.026,1.042,1.009,
1937,12,1.026,,1.025,1.041,1.008,
1938,1,1.036,,1.023,1.040,1.007,
1938,2,0.986,,1.022,1.038,1.006,
1938,3,1.106,,1.021,1.037,1.005,
1938,4,1.046,,1.020,1.036,1.004,
1938,5,1.012,,1.019,1.035,1.003,
1938,6,0.991,,1.018,1.034,1.002,
1938,7,0.989,,1.017,1.033,1.001,
1938,8,0.934,,1.016,1.032,1.000,
1938,9,1.025,,1.015,1.031,0.999,
1938,10,1.058,,1.013,1.029,0.998,
1938,11,0.985,,1.012,1.028,0.996,
1938,12,1.005,,1.011,1.027,0.995,
1939,1,1.061,,1.010,1.026,0.994,
1939,2,0.873,,1.009,1.025,0.993,
1939,3,0.923,,1.008,1.024,0.992,
1939,4,0.936,,1.007,1.023,0.991,
1939,5,1.027,,1.006,1.021,0.990,
1939,6,0.964,,1.005,1.020,0.989,
1939,7,1.023,,1.003,1.019,0.988,
1939,8,1.031,,1.002,1.018,0.987,
1939,9,1.052,,1.001,1.017,0.986,
